"event","data"
"fixation","9.5367431640625e-07"
"milkshake","10.019787073135376"
"rate_milkshake","20.04779291152954"
"rating","2"
"taste_delivery","45.11899495124817"
"swallow","49.17536497116089"
"taste_delivery","49.26164793968201"
"swallow","49.68730092048645"
"taste_delivery","49.77218699455261"
"swallow","50.195164918899536"
"taste_delivery","50.27949786186218"
"swallow","50.70525002479553"
"fixation","50.7892050743103"
"milkshake","51.70130801200867"
"rate_milkshake","52.09954285621643"
"rating","-1"
"administer_crave_crush","54.190943002700806"
"wait_for_dissolve","114.20075988769531"
"fixation","294.20407795906067"
"milkshake","294.6688599586487"
"rate_milkshake","295.13068294525146"
"rating","-1"
"taste_delivery","296.9194679260254"
"swallow","297.42218685150146"
"taste_delivery","297.5527310371399"
"swallow","298.1105589866638"
"taste_delivery","298.2197709083557"
"swallow","298.77484703063965"
"taste_delivery","298.8826639652252"
"swallow","299.33760499954224"
"fixation","299.4308979511261"
"milkshake","300.4689910411835"
"rate_milkshake","300.8795528411865"
"rating","-1"
